Date,TT,ST,CiT,AT,FT,IT
2009-09,1351.896893,508.5742797,41.8676305,3.38738153,77.29016638,518.0372631
2009-10,1159.645268,478.3266748,43.03880041,3.96144983,72.96513192,388.6940118
2009-11,1068.665437,468.6883121,38.82774239,3.69007523,74.11564583,424.3787229
2009-12,1178.707871,472.1602318,41.21423192,4.37856705,68.80279459,423.7814263
2010-01,1343.454035,571.2537644,37.5085841,3.99854154,75.36609742,580.9832578
2010-02,881.3375072,454.9100178,33.01059493,2.58287263,68.91674413,245.1429761
2010-03,1123.692913,458.2886825,37.09424255,2.65416693,71.72638375,411.2449318
2010-04,1680.719142,523.2667756,42.8090306,3.46562133,83.8971097,735.2393146
2010-05,1214.517077,492.2111662,37.59831376,3.33290544,76.00973392,503.7124595
2010-06,1354.868745,526.8011102,42.85894561,0.73362269,76.45570587,463.9585235
2010-07,1169.327411,518.5585086,45.36036893,4.09912303,80.68265734,407.09264
2010-08,1187.269316,520.1438685,43.93700649,3.80732305,79.42504931,476.287653
2010-09,1384.433865,516.7364154,39.97632306,3.03207793,76.79822974,526.0904359
2010-10,1180.876544,497.9804521,39.94147902,3.7587597,76.9712212,430.0473925
2010-11,1163.713503,498.3266607,42.39981477,2.75403978,78.7282078,468.5417964
2010-12,1297.95581,510.8157209,41.9755884,5.98647227,73.32604951,440.3589704
2011-01,1465.360903,606.7835624,37.08780427,4.30967884,76.11143818,616.7863882
2011-02,942.7816212,495.4595947,29.28994594,2.34514478,79.67806394,262.976406
2011-03,1192.184138,486.6556235,38.87548003,2.59158742,69.33980006,448.3018473
2011-04,1673.298654,537.2385519,38.3014564,3.30068682,87.50633083,716.0834252
2011-05,1424.820085,526.7313561,39.88270357,4.17085735,76.82370093,677.1458299
2011-06,1491.483869,554.3053045,41.58490642,3.77965259,72.34259469,541.1334855
2011-07,1225.71627,552.3585781,39.31735967,4.4117242,77.12106761,429.2914461
2011-08,1217.039755,553.592475,44.58444837,3.36925527,77.36581225,479.4837972
2011-09,1515.263114,555.9562267,38.42226657,3.65067595,76.1566675,1217.039755
2011-10,1300.551849,543.509645,39.53188696,4.05588387,73.68548397,509.8904256
2011-11,1183.80571,537.1476496,35.75775838,3.1609584,77.81457202,430.730145
2011-12,1365.863987,514.8572439,39.38694411,4.9017131,73.65994243,471.1589315
2012-01,1553.882687,635.7098653,37.19078236,4.2647092,75.30198802,659.2749743
2012-02,931.5649124,496.6136519,29.93393563,3.23029787,75.90563587,265.0143275
2012-03,1259.596584,530.7177926,33.64375323,2.48942354,74.94120001,464.9937829
2012-04,2062.81,587.4443288,39.00610509,2.4498927,91.27730938,1000.050307
